,Postcode,Borough,Neighbourhood
0,M5P,Central Toronto,Forest Hill North
1,M1G,Scarborough,Woburn
2,M3L,North York,Downsview West
3,M9R,Etobicoke,Kingsview Village
4,M1S,Scarborough,Agincourt
5,M9C,Etobicoke,Markland Wood
6,M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights"
7,M9L,North York,Humber Summit
8,M5R,Central Toronto,"The Annex, Yorkville"
9,M8X,Etobicoke,The Kingsway
10,M9A,Etobicoke,Islington Avenue
11,M2H,North York,Hillcrest Village
12,M1N,Scarborough,Birch Cliff
13,M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre"
14,M3C,North York,Flemingdon Park
15,M5C,Downtown Toronto,St. James Town
16,M6K,West Toronto,"Exhibition Place, Parkdale Village"
17,M1M,Scarborough,"Cliffcrest, Cliffside"
18,M9M,North York,"Emery, Humberlea"
19,M1R,Scarborough,"Maryvale, Wexford"
20,M6R,West Toronto,"Parkdale, Roncesvalles"
21,M5J,Downtown Toronto,"Toronto Islands, Union Station"
22,M9V,Etobicoke,"Beaumond Heights, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown"
23,M4Y,Downtown Toronto,Church and Wellesley
24,M2R,North York,Willowdale West
25,M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union"
26,M1B,Scarborough,"Rouge, Malvern"
27,M4L,East Toronto,India Bazaar
28,M4T,Central Toronto,Moore Park
29,M3J,North York,"Northwood Park, York University"
30,M4W,Downtown Toronto,Rosedale
31,M4X,Downtown Toronto,"Cabbagetown, St. James Town"
32,M4V,Central Toronto,"Deer Park, Rathnelly, South Hill"
33,M5L,Downtown Toronto,Commerce Court
34,M4N,Central Toronto,Lawrence Park
35,M8Z,Etobicoke,"Mimico NW, The Queensway West"
36,M6P,West Toronto,High Park
37,M4B,East York,"Woodbine Gardens, Parkview Hill"
38,M6S,West Toronto,"Runnymede, Swansea"
39,M3H,North York,"Bathurst Manor, Wilson Heights"
40,M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market"
41,M6L,North York,Downsview
42,M5M,North York,Bedford Park
43,M6M,York,"Keelesdale, Mount Dennis, Silverthorn"
44,M1X,Scarborough,Upper Rouge
45,M4A,North York,Victoria Village
46,M1K,Scarborough,"Ionview, Kennedy Park"
47,M4J,East York,East Toronto
48,M3K,North York,CFB Toronto
49,M4C,East York,Woodbine Heights
50,M4E,East Toronto,The Beaches
51,M6A,North York,"Lawrence Heights, Lawrence Manor"
52,M9N,York,Weston
53,M2J,North York,Henry Farm
54,M1T,Scarborough,Tam O'Shanter
55,M1E,Scarborough,"Morningside, West Hill"
56,M3A,North York,Parkwoods
57,M4H,East York,Thorncliffe Park
58,M2M,North York,"Newtonbrook, Willowdale"
59,M4K,East Toronto,Riverdale
60,M5X,Downtown Toronto,"First Canadian Place, Underground city"
61,M5A,Downtown Toronto,"Harbourfront, Regent Park"
62,M4G,East York,Leaside
63,M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, South Niagara"
64,M6H,West Toronto,Dovercourt Village
65,M5E,Downtown Toronto,Berczy Park
66,M6J,West Toronto,"Little Portugal, Trinity"
67,M1V,Scarborough,"Agincourt North, Milliken"
68,M2K,North York,Bayview Village
69,M1L,Scarborough,"Clairlea, Golden Mile, Oakridge"
70,M2L,North York,York Mills
71,M5S,Downtown Toronto,University of Toronto
72,M1J,Scarborough,Scarborough Village
73,M8Y,Etobicoke,"Humber Bay, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea"
74,M9B,Etobicoke,"Islington, Princess Gardens, West Deane Park"
75,M8V,Etobicoke,New Toronto
76,M8W,Etobicoke,"Alderwood, Long Branch"
